143,Trafalgar Square / Charing Cross Stn,1,Monday,16,47
192,Lea Bridge Roundabout,2,Monday,16,47
9986,West Green Road,1,Monday,16,47
4825,Regents Canal,1,Monday,16,49
34,Victoria Bus Station,1,Monday,16,50
23341,Coleraine Road,2,Monday,16,50
2622,Clerkenwell Road,1,Monday,16,50
33477,Bressenden Place,1,Monday,16,50
297,St John Street / Goswell Road,1,Monday,16,49
30743,Wood Green Station,2,Monday,16,50
R0868,Hainault Street,1,Monday,16,51
900,Bow Road Station,2,Monday,16,52
1017,St John Street / Goswell Road,2,Monday,16,52
1017,St John Street / Goswell Road,2,Monday,16,53
2638,Mildmay Park / Southgate Road,2,Monday,16,53
4716,Angel Station,2,Monday,16,53
20997,Hackney Central/ Mare Street,2,Monday,16,54
143,Trafalgar Square / Charing Cross Stn,1,Monday,16,53
945,Sidney Street,2,Monday,16,55
1054,Dean Street / Chinatown,1,Monday,16,54
23341,Coleraine Road,2,Monday,16,55
192,Lea Bridge Roundabout,2,Monday,16,54
1156,City Thameslink Station,2,Monday,16,55
1473,Brownlow Street,2,Monday,16,56
315,Seven Sisters Road / Nags Head,2,Monday,16,56
2045,The East London Mosque,2,Monday,16,53
R0868,Hainault Street,1,Monday,16,55
29775,Turnpike Lane Station,2,Monday,16,58
305,Hackney Central Station,2,Monday,16,57
4716,Angel Station,2,Monday,16,59
143,Trafalgar Square / Charing Cross Stn,1,Monday,16,58
143,Trafalgar Square / Charing Cross Stn,1,Monday,16,59
305,Hackney Central Station,2,Monday,17,0
297,St John Street / Goswell Road,1,Monday,17,0
377,Finsbury Park / Blackstock Road,1,Monday,17,1
1017,St John Street / Goswell Road,2,Monday,17,3
2043,Adler Street,2,Monday,17,3
34,Victoria Bus Station,1,Monday,17,2
2043,Adler Street,2,Monday,17,4
20997,Hackney Central/ Mare Street,2,Monday,17,4
1802,Finsbury Town Hall,1,Monday,17,5
BP5244,Aldgate East Station,2,Monday,17,6
143,Trafalgar Square / Charing Cross Stn,1,Monday,17,5
34,Victoria Bus Station,1,Monday,17,7
BP5294,New Oxford Street / High Holborn,2,Monday,17,7
BP3460,Redbridge Central Library,2,Monday,17,7
30743,Wood Green Station,2,Monday,17,8
30743,Wood Green Station,2,Monday,17,8
192,Lea Bridge Roundabout,2,Monday,17,11
2045,The East London Mosque,2,Monday,17,9
143,Trafalgar Square / Charing Cross Stn,1,Monday,17,10
2045,The East London Mosque,2,Monday,17,11
34,Victoria Bus Station,1,Monday,17,12
BP5244,Aldgate East Station,2,Monday,17,15
20997,Hackney Central/ Mare Street,2,Monday,17,16
192,Lea Bridge Roundabout,2,Monday,17,16
143,Trafalgar Square / Charing Cross Stn,1,Monday,17,15
2622,Clerkenwell Road,1,Monday,17,16
2639,Culford Road,2,Monday,17,19
14531,Seventh Avenue,1,Monday,17,20
FC44,Chapel Road,1,Monday,17,21
143,Trafalgar Square / Charing Cross Stn,1,Monday,17,21
R0868,Hainault Street,1,Monday,17,19
13506,Kingsland High Street,2,Monday,17,23
BP5244,Aldgate East Station,2,Monday,17,23
FC41,Hainault Street,2,Monday,17,23
37219,Ilford Broadway,2,Monday,17,23
1277,Silverdale,1,Monday,17,27
14531,Seventh Avenue,1,Monday,17,27
R0868,Hainault Street,1,Monday,17,28
143,Trafalgar Square / Charing Cross Stn,1,Monday,17,27
BP4269,Holles Street,2,Monday,17,29
BP1379,Chapel Road,2,Monday,17,29
34,Victoria Bus Station,1,Monday,17,29
8579,St Katharine Cree,2,Monday,17,31
29775,Turnpike Lane Station,2,Monday,17,33
34,Victoria Bus Station,1,Monday,17,34
34716,Piccadilly Circus,1,Monday,17,34
R0868,Hainault Street,1,Monday,17,32
8579,St Katharine Cree,2,Monday,17,35
192,Lea Bridge Roundabout,2,Monday,17,35
2059,Coborn Road,2,Monday,17,36
BP1379,Chapel Road,2,Monday,17,40
